State,Year,Quarter,District,RegisteredUsers,AppOpens
Gujarat,2020,1,Dohad District,81529,1236284
Gujarat,2020,1,Navsari District,146018,1993140
Gujarat,2020,1,Patan District,164027,2890050
Gujarat,2020,1,Kachchh District,347270,5714637
Gujarat,2020,1,Surendranagar District,154610,2101503
Gujarat,2020,1,Morbi District,130472,1792131
Gujarat,2018,1,Anand District,68052,0
Gujarat,2018,1,Jamnagar District,52416,0
Gujarat,2018,1,Devbhumi Dwarka District,15809,0
Gujarat,2018,1,Rajkot District,133017,0
Gujarat,2018,1,Aravallis District,21932,0
Gujarat,2018,1,Chhotaudepur District,6581,0
Gujarat,2018,1,Botad District,23738,0
Gujarat,2018,1,Bharuch District,101575,0
Gujarat,2018,1,Bhavnagar District,87683,0
Gujarat,2018,1,Junagadh District,35171,0
Gujarat,2018,1,Mahesana District,97004,0
Gujarat,2018,1,The Dangs District,2285,0
Gujarat,2018,1,Kheda District,43776,0
Gujarat,2018,1,Surat District,489852,0
Gujarat,2018,1,Porbandar District,12401,0
Gujarat,2018,1,Gandhinagar District,118201,0
Gujarat,2018,1,Panch Mahals District,32263,0
Gujarat,2018,1,Narmada District,6464,0
Gujarat,2018,1,Gir Somnath District,28292,0
Gujarat,2018,1,Valsad District,80138,0
Gujarat,2018,1,Mahisagar District,11048,0
Gujarat,2018,1,Sabar Kantha District,45018,0
Gujarat,2018,1,Tapi District,14231,0
Gujarat,2018,1,Vadodara District,205722,0
Gujarat,2018,1,Banas Kantha District,93506,0
Gujarat,2018,1,Amreli District,31443,0
Gujarat,2018,1,Ahmadabad District,572811,0
Gujarat,2018,1,Dohad District,16212,0
Gujarat,2018,1,Navsari District,35437,0
Gujarat,2018,1,Patan District,41580,0
Gujarat,2018,1,Kachchh District,97838,0
Gujarat,2018,1,Surendranagar District,38223,0
Gujarat,2018,1,Morbi District,30329,0
Sikkim,2022,1,South District,43881,2776181
Sikkim,2022,1,West District,27594,3049668
Sikkim,2022,1,East District,120360,3384215
Sikkim,2022,1,North District,17781,3230129
Sikkim,2024,1,South District,61782,5845705
Sikkim,2024,1,West District,38748,3447804
Sikkim,2024,1,East District,168229,8402762
Sikkim,2024,1,North District,25062,1888089
Sikkim,2023,1,South District,52942,5195700
Sikkim,2023,1,West District,32945,4025814
Sikkim,2023,1,East District,145199,4158937
Sikkim,2023,1,North District,21354,5546776
Sikkim,2019,1,South District,11031,0
Sikkim,2019,1,West District,6479,0
Sikkim,2019,1,East District,36124,0
Sikkim,2019,1,North District,5322,0
Sikkim,2021,1,South District,33490,549002
Sikkim,2021,1,West District,20769,329949
Sikkim,2021,1,East District,92502,1635704
Sikkim,2021,1,North District,13452,280676
Sikkim,2020,1,South District,21043,363778
Sikkim,2020,1,West District,12746,206588
Sikkim,2020,1,East District,61820,973818
Sikkim,2020,1,North District,9022,152979
Sikkim,2018,1,South District,3679,0
Sikkim,2018,1,West District,2048,0
Sikkim,2018,1,East District,12749,0
Sikkim,2018,1,North District,1575,0
Delhi,2022,1,South District,963775,4684890
Delhi,2022,1,Central District,1338465,6409314
Delhi,2022,1,New Delhi District,1336911,6165616
Delhi,2022,1,West District,2017435,8118532
Delhi,2022,1,South West District,1097016,4590648
Delhi,2022,1,South East Delhi District,1628157,7357594
Delhi,2022,1,Shahdara District,826148,2924454
Delhi,2022,1,North East District,739301,3042375
Delhi,2022,1,East District,1013024,3852805
Delhi,2022,1,North West District,1419688,5396333
Delhi,2022,1,North District,1159277,4981592
Delhi,2024,1,South District,1345231,7099061
Delhi,2024,1,Central District,1884700,9854622
Delhi,2024,1,New Delhi District,1871468,8014093
Delhi,2024,1,West District,2837958,11415594
Delhi,2024,1,South West District,1541622,6256241
Delhi,2024,1,South East Delhi District,2291746,10307766
Delhi,2024,1,Shahdara District,1167913,4068339
Delhi,2024,1,North East District,1054875,4076322
Delhi,2024,1,East District,1418866,5605313
Delhi,2024,1,North West District,2008098,6998272
Delhi,2024,1,North District,1644670,6607318
Delhi,2023,1,South District,1167338,4668358
Delhi,2023,1,Central District,1629248,6215071
Delhi,2023,1,New Delhi District,1622600,5117085
Delhi,2023,1,West District,2453869,7209475
Delhi,2023,1,South West District,1333347,3788785
Delhi,2023,1,South East Delhi District,1980915,6467886
Delhi,2023,1,Shahdara District,1007880,2584431
Delhi,2023,1,North East District,906036,2613986
Delhi,2023,1,East District,1230290,3461144
Delhi,2023,1,North West District,1731494,4475947
Delhi,2023,1,North District,1416994,4447621
Delhi,2019,1,South District,407519,0
Delhi,2019,1,Central District,529918,0
Delhi,2019,1,New Delhi District,558516,0
Delhi,2019,1,West District,820526,0
Delhi,2019,1,South West District,467571,0
Delhi,2019,1,South East Delhi District,671667,0
Delhi,2019,1,Shahdara District,310351,0
Delhi,2019,1,North East District,262131,0
Delhi,2019,1,East District,439639,0
Delhi,2019,1,North West District,583438,0
Delhi,2019,1,North District,447987,0
Delhi,2021,1,South District,749173,20969765
Delhi,2021,1,Central District,1035060,31035635
Delhi,2021,1,New Delhi District,1039016,31041137
Delhi,2021,1,West District,1559112,38915888
Delhi,2021,1,South West District,849223,22664421
Delhi,2021,1,South East Delhi District,1260645,37073920
Delhi,2021,1,Shahdara District,636908,14514305
Delhi,2021,1,North East District,567107,13760602
Delhi,2021,1,East District,786308,21924687
Delhi,2021,1,North West District,1094464,26122744
Delhi,2021,1,North District,890194,23178496
Delhi,2020,1,South District,570329,14596406
Delhi,2020,1,Central District,765149,20077306
Delhi,2020,1,New Delhi District,810489,19988931
Delhi,2020,1,West District,1160353,23777985
Delhi,2020,1,South West District,644981,13628530
Delhi,2020,1,South East Delhi District,947535,23452400
Delhi,2020,1,Shahdara District,460186,8525491
Delhi,2020,1,North East District,399504,7741484
Delhi,2020,1,East District,604768,15229722
Delhi,2020,1,North West District,814249,16316454
Delhi,2020,1,North District,648654,14929277
Delhi,2018,1,South District,156706,0
Delhi,2018,1,Central District,202723,0
Delhi,2018,1,New Delhi District,212008,0
Delhi,2018,1,West District,308558,0
Delhi,2018,1,South West District,179197,0
Delhi,2018,1,South East Delhi District,251213,0
Delhi,2018,1,Shahdara District,114549,0
Delhi,2018,1,North East District,95472,0
Delhi,2018,1,East District,169295,0
Delhi,2018,1,North West District,223679,0
Delhi,2018,1,North District,173622,0
West Bengal,2022,1,South Twenty Four Parganas District,1569037,15996447
West Bengal,2022,1,Purba Bardhaman District,962974,10617588
West Bengal,2022,1,Uttar Dinajpur District,488748,10698867
West Bengal,2022,1,Kalimpong District,46360,4063572
West Bengal,2022,1,Murshidabad District,1524507,13223504
West Bengal,2022,1,Paschim Medinipur District,1048100,17208139
West Bengal,2022,1,Dakshin Dinajpur District,348440,4987259
West Bengal,2022,1,Jalpaiguri District,321098,10959051
West Bengal,2022,1,Purulia District,535484,16529605
West Bengal,2022,1,North Twenty Four Parganas District,3224459,16514236
West Bengal,2022,1,Bankura District,790092,16485113
West Bengal,2022,1,Jhargram District,152675,6036561
West Bengal,2022,1,Howrah District,1218931,4852911
West Bengal,2022,1,Hooghly District,1356282,7217576
West Bengal,2022,1,Kolkata District,2340343,8737523
West Bengal,2022,1,Koch Bihar District,459613,11039904
West Bengal,2022,1,Alipurduar District,223296,8375579
West Bengal,2022,1,Paschim Bardhaman District,956754,6555780
West Bengal,2022,1,Nadia District,1164783,8989674
West Bengal,2022,1,Birbhum District,733911,9448003
West Bengal,2022,1,Purba Medinipur District,1155279,8760746
West Bengal,2022,1,Maldah District,812775,11245507
West Bengal,2022,1,Darjiling District,485846,7587920
West Bengal,2024,1,South Twenty Four Parganas District,2243985,42483611
West Bengal,2024,1,Purba Bardhaman District,1377496,28024604
West Bengal,2024,1,Uttar Dinajpur District,716736,31442709
West Bengal,2024,1,Kalimpong District,65762,11444998
West Bengal,2024,1,Murshidabad District,2188015,28628013
West Bengal,2024,1,Paschim Medinipur District,1498903,38126856
West Bengal,2024,1,Dakshin Dinajpur District,511007,21364389
West Bengal,2024,1,Jalpaiguri District,462801,43873728
West Bengal,2024,1,Purulia District,774183,63254947
West Bengal,2024,1,North Twenty Four Parganas District,4570438,26700160
West Bengal,2024,1,Bankura District,1129802,34724845
West Bengal,2024,1,Jhargram District,217964,26760062
West Bengal,2024,1,Howrah District,1737851,6898283
West Bengal,2024,1,Hooghly District,1930844,9174861
West Bengal,2024,1,Kolkata District,3279239,11300557
West Bengal,2024,1,Koch Bihar District,666807,28306320
West Bengal,2024,1,Alipurduar District,321436,42854264
West Bengal,2024,1,Paschim Bardhaman District,1359767,10536398
West Bengal,2024,1,Nadia District,1671140,13679202
West Bengal,2024,1,Birbhum District,1056537,30502875
West Bengal,2024,1,Purba Medinipur District,1655920,18688405
West Bengal,2024,1,Maldah District,1183956,33270738
West Bengal,2024,1,Darjiling District,686254,31485682
West Bengal,2023,1,South Twenty Four Parganas District,1913867,20248010
West Bengal,2023,1,Purba Bardhaman District,1171416,14024827
West Bengal,2023,1,Uttar Dinajpur District,604337,18402983
West Bengal,2023,1,Kalimpong District,55972,7440098
West Bengal,2023,1,Murshidabad District,1868610,15071851
West Bengal,2023,1,Paschim Medinipur District,1274166,21510664
West Bengal,2023,1,Dakshin Dinajpur District,429466,7605293
West Bengal,2023,1,Jalpaiguri District,392646,18371583
West Bengal,2023,1,Purulia District,652528,25640046
West Bengal,2023,1,North Twenty Four Parganas District,3926974,17361233
West Bengal,2023,1,Bankura District,957561,22629162
West Bengal,2023,1,Jhargram District,184460,11363522
West Bengal,2023,1,Howrah District,1488195,3583925
West Bengal,2023,1,Hooghly District,1651210,7508082
West Bengal,2023,1,Kolkata District,2838411,7291282
West Bengal,2023,1,Koch Bihar District,564029,19175942
West Bengal,2023,1,Alipurduar District,272997,12835964
West Bengal,2023,1,Paschim Bardhaman District,1165703,9386585
West Bengal,2023,1,Nadia District,1423179,9249475
West Bengal,2023,1,Birbhum District,896009,14218972
West Bengal,2023,1,Purba Medinipur District,1409101,11139071
West Bengal,2023,1,Maldah District,1002068,15639770
West Bengal,2023,1,Darjiling District,589990,11404341
West Bengal,2019,1,South Twenty Four Parganas District,487180,0
West Bengal,2019,1,Purba Bardhaman District,340321,0
West Bengal,2019,1,Uttar Dinajpur District,144521,0
West Bengal,2019,1,Kalimpong District,10477,0
West Bengal,2019,1,Murshidabad District,478812,0
West Bengal,2019,1,Paschim Medinipur District,361979,0
West Bengal,2019,1,Dakshin Dinajpur District,115269,0
West Bengal,2019,1,Jalpaiguri District,92118,0
West Bengal,2019,1,Purulia District,190392,0
West Bengal,2019,1,North Twenty Four Parganas District,1130983,0
West Bengal,2019,1,Bankura District,288329,0
West Bengal,2019,1,Jhargram District,53153,0
West Bengal,2019,1,Howrah District,410583,0
West Bengal,2019,1,Hooghly District,480952,0
West Bengal,2019,1,Kolkata District,868126,0
West Bengal,2019,1,Koch Bihar District,131010,0
West Bengal,2019,1,Alipurduar District,64136,0
West Bengal,2019,1,Paschim Bardhaman District,349928,0
West Bengal,2019,1,Nadia District,385179,0
West Bengal,2019,1,Birbhum District,265201,0
West Bengal,2019,1,Purba Medinipur District,389583,0
West Bengal,2019,1,Maldah District,266012,0
West Bengal,2019,1,Darjiling District,145181,0
West Bengal,2021,1,South Twenty Four Parganas District,1202229,21591489
West Bengal,2021,1,Purba Bardhaman District,736414,12509473
West Bengal,2021,1,Uttar Dinajpur District,364508,6914186
West Bengal,2021,1,Kalimpong District,34881,525429
West Bengal,2021,1,Murshidabad District,1166975,18555993
West Bengal,2021,1,Paschim Medinipur District,800530,15570980
West Bengal,2021,1,Dakshin Dinajpur District,262176,3213720
West Bengal,2021,1,Jalpaiguri District,241123,4313032
West Bengal,2021,1,Purulia District,406012,6414833
West Bengal,2021,1,North Twenty Four Parganas District,2491076,53434882
West Bengal,2021,1,Bankura District,604485,9129830
West Bengal,2021,1,Jhargram District,115812,2140829
West Bengal,2021,1,Howrah District,940133,17584219
West Bengal,2021,1,Hooghly District,1046242,19808381
West Bengal,2021,1,Kolkata District,1823074,39347629
West Bengal,2021,1,Koch Bihar District,345201,5796542
West Bengal,2021,1,Alipurduar District,167837,3103865
West Bengal,2021,1,Paschim Bardhaman District,738540,14154334
West Bengal,2021,1,Nadia District,893107,16082294
West Bengal,2021,1,Birbhum District,558494,8668586
West Bengal,2021,1,Purba Medinipur District,884605,18408378
West Bengal,2021,1,Maldah District,613320,12880352
West Bengal,2021,1,Darjiling District,372025,6683418
West Bengal,2020,1,South Twenty Four Parganas District,820857,13296644
West Bengal,2020,1,Purba Bardhaman District,535655,9064338
West Bengal,2020,1,Uttar Dinajpur District,244309,3676444
West Bengal,2020,1,Kalimpong District,20625,265454
West Bengal,2020,1,Murshidabad District,830132,11493177
West Bengal,2020,1,Paschim Medinipur District,572195,11239784
West Bengal,2020,1,Dakshin Dinajpur District,185263,2194988
West Bengal,2020,1,Jalpaiguri District,156901,2417059
West Bengal,2020,1,Purulia District,295685,4935551
West Bengal,2020,1,North Twenty Four Parganas District,1789973,35287689
West Bengal,2020,1,Bankura District,456100,8602495
West Bengal,2020,1,Jhargram District,83390,1492453
West Bengal,2020,1,Howrah District,654600,10773200
West Bengal,2020,1,Hooghly District,755631,13468675
West Bengal,2020,1,Kolkata District,1336585,23772049
West Bengal,2020,1,Koch Bihar District,221552,3352224
West Bengal,2020,1,Alipurduar District,108508,1641996
West Bengal,2020,1,Paschim Bardhaman District,538224,9466107
West Bengal,2020,1,Nadia District,633794,10706723
West Bengal,2020,1,Birbhum District,415614,6782790
West Bengal,2020,1,Purba Medinipur District,632173,12408061
West Bengal,2020,1,Maldah District,427905,7190583
West Bengal,2020,1,Darjiling District,245151,3539734
West Bengal,2018,1,South Twenty Four Parganas District,142473,0
West Bengal,2018,1,Purba Bardhaman District,119528,0
West Bengal,2018,1,Uttar Dinajpur District,50400,0
West Bengal,2018,1,Kalimpong District,3090,0
West Bengal,2018,1,Murshidabad District,187824,0
West Bengal,2018,1,Paschim Medinipur District,127203,0
West Bengal,2018,1,Dakshin Dinajpur District,36948,0
West Bengal,2018,1,Jalpaiguri District,31035,0
West Bengal,2018,1,Purulia District,73427,0
West Bengal,2018,1,North Twenty Four Parganas District,396980,0
West Bengal,2018,1,Bankura District,110008,0
West Bengal,2018,1,Jhargram District,18243,0
West Bengal,2018,1,Howrah District,136589,0
West Bengal,2018,1,Hooghly District,148033,0
West Bengal,2018,1,Kolkata District,306503,0
West Bengal,2018,1,Koch Bihar District,41690,0
West Bengal,2018,1,Alipurduar District,22238,0
West Bengal,2018,1,Paschim Bardhaman District,139310,0
West Bengal,2018,1,Nadia District,136396,0
West Bengal,2018,1,Birbhum District,94598,0
West Bengal,2018,1,Purba Medinipur District,131380,0
West Bengal,2018,1,Maldah District,99061,0
West Bengal,2018,1,Darjiling District,51832,0
Uttar Pradesh,2022,1,Amethi District,283285,9549931
Uttar Pradesh,2022,1,Siddharthnagar District,286990,14567713
Uttar Pradesh,2022,1,Auraiya District,217723,6484845
Uttar Pradesh,2022,1,Sambhal District,234926,9010245
Uttar Pradesh,2022,1,Kanpur Nagar District,1431918,13306305
Uttar Pradesh,2022,1,Aligarh District,778769,14195820
Uttar Pradesh,2022,1,Mahoba District,117391,9999168
Uttar Pradesh,2022,1,Lucknow District,2348173,14805785
Uttar Pradesh,2022,1,Sant Kabeer Nagar District,220942,4404751
Uttar Pradesh,2022,1,Hathras District,264734,6198459
Uttar Pradesh,2022,1,Budaun District,310467,16137282
Uttar Pradesh,2022,1,Moradabad District,528459,9111603
Uttar Pradesh,2022,1,Kushinagar District,585162,8878928
Uttar Pradesh,2022,1,Baghpat District,273913,5613358
Uttar Pradesh,2022,1,Shahjahanpur District,359822,13459500
Uttar Pradesh,2022,1,Muzaffarnagar District,510605,11229672
Uttar Pradesh,2022,1,Ambedkar Nagar District,347805,5487699
Uttar Pradesh,2022,1,Bahraich District,262870,16665248
Uttar Pradesh,2022,1,Jalaun District,263573,18544106
Uttar Pradesh,2022,1,Rampur District,282442,9425506
Uttar Pradesh,2022,1,Ballia District,548285,7592872
Uttar Pradesh,2022,1,Shravasti District,68179,5565051
Uttar Pradesh,2022,1,Kasganj District,182189,5935949
Uttar Pradesh,2022,1,Varanasi District,1406056,6339961
Uttar Pradesh,2022,1,Gautam Buddha Nagar District,2822463,19662404
Uttar Pradesh,2022,1,Basti District,368788,7282881
Uttar Pradesh,2022,1,Shamli District,217044,5332538
Uttar Pradesh,2022,1,Maharajganj District,377520,8411383
Uttar Pradesh,2022,1,Etawah District,286261,9145306
Uttar Pradesh,2022,1,Etah District,246989,8342531
Uttar Pradesh,2022,1,Banda District,178647,13262034
Uttar Pradesh,2022,1,Bijnor District,505579,16218600
Uttar Pradesh,2022,1,Hardoi District,369745,19000597
Uttar Pradesh,2022,1,Balrampur District,172888,12140005
Uttar Pradesh,2022,1,Amroha District,279928,8078212
Uttar Pradesh,2022,1,Pilibhit District,267438,9254610
Uttar Pradesh,2022,1,Mainpuri District,285752,8884695
Uttar Pradesh,2022,1,Kanpur Dehat District,215966,13183908
Uttar Pradesh,2022,1,Jaunpur District,745837,8170651
Uttar Pradesh,2022,1,Kaushambi District,146004,5561337
Uttar Pradesh,2022,1,Hapur District,328694,4935570
Uttar Pradesh,2022,1,Hamirpur District,148893,11136453
Uttar Pradesh,2022,1,Meerut District,967325,11174775
Uttar Pradesh,2022,1,Mathura District,719040,15649266
Uttar Pradesh,2022,1,Chitrakoot District,104504,10833118
Uttar Pradesh,2022,1,Lalitpur District,178791,22066384
Uttar Pradesh,2022,1,Mau District,335310,3294192
Uttar Pradesh,2022,1,Mirzapur District,359993,14164109
Uttar Pradesh,2022,1,Bulandshahr District,612406,13024759
Uttar Pradesh,2022,1,Gonda District,350931,15186086
Uttar Pradesh,2022,1,Jhansi District,529169,20172645
Uttar Pradesh,2022,1,Chandauli District,343632,6279911
Uttar Pradesh,2022,1,Bhadohi District,261266,1976717
Uttar Pradesh,2022,1,Pratapgarh District,425208,9394913
Uttar Pradesh,2022,1,Saharanpur District,665784,17834197
Uttar Pradesh,2022,1,Bara Banki District,335222,11548753
Uttar Pradesh,2022,1,Bareilly District,875033,14178473
Uttar Pradesh,2022,1,Sitapur District,459091,18142935
Uttar Pradesh,2022,1,Sultanpur District,345466,6918627
Uttar Pradesh,2022,1,Agra District,1279852,18048877
Uttar Pradesh,2022,1,Fatehpur District,261545,11261260
Uttar Pradesh,2022,1,Rae Bareli District,301965,9915965
Uttar Pradesh,2022,1,Firozabad District,473859,9080483
Uttar Pradesh,2022,1,Kheri District,514743,17952780
Uttar Pradesh,2022,1,Gorakhpur District,1027283,13510549
Uttar Pradesh,2022,1,Unnao District,337537,13083095
Uttar Pradesh,2022,1,Prayagraj District,1504572,19196760
Uttar Pradesh,2022,1,Sonbhadra District,312416,25876890
Uttar Pradesh,2022,1,Ghazipur District,589549,7240038
Uttar Pradesh,2022,1,Farrukhabad District,266001,7563620
Uttar Pradesh,2022,1,Kannauj District,228510,7913289
Uttar Pradesh,2022,1,Azamgarh District,666213,8513681
Uttar Pradesh,2022,1,Ayodhya District,426442,7593013
Uttar Pradesh,2022,1,Deoria District,563817,5830458
Uttar Pradesh,2022,1,Ghaziabad District,2298103,11991935
Uttar Pradesh,2024,1,Amethi District,412459,27400051
Uttar Pradesh,2024,1,Siddharthnagar District,419741,74523976
Uttar Pradesh,2024,1,Auraiya District,316229,25045838
Uttar Pradesh,2024,1,Sambhal District,338406,49777506
Uttar Pradesh,2024,1,Kanpur Nagar District,2038863,44178328
Uttar Pradesh,2024,1,Aligarh District,1116196,29887061
Uttar Pradesh,2024,1,Mahoba District,171978,36270996
Uttar Pradesh,2024,1,Lucknow District,3309599,38451083
Uttar Pradesh,2024,1,Sant Kabeer Nagar District,324099,10615423
Uttar Pradesh,2024,1,Hathras District,383279,10401970
Uttar Pradesh,2024,1,Budaun District,448663,83958040
Uttar Pradesh,2024,1,Moradabad District,756605,32006796
Uttar Pradesh,2024,1,Kushinagar District,859776,13054842
Uttar Pradesh,2024,1,Baghpat District,390418,10342105
Uttar Pradesh,2024,1,Shahjahanpur District,525540,68362077
Uttar Pradesh,2024,1,Muzaffarnagar District,727767,29199588
Uttar Pradesh,2024,1,Ambedkar Nagar District,509939,7438717
Uttar Pradesh,2024,1,Bahraich District,380792,165461525
Uttar Pradesh,2024,1,Jalaun District,383401,54226688
Uttar Pradesh,2024,1,Rampur District,406952,36281261
Uttar Pradesh,2024,1,Ballia District,799919,13307515
Uttar Pradesh,2024,1,Shravasti District,99409,65773605
Uttar Pradesh,2024,1,Kasganj District,264977,23138617
Uttar Pradesh,2024,1,Varanasi District,2000419,9045274
Uttar Pradesh,2024,1,Gautam Buddha Nagar District,3965080,26947860
Uttar Pradesh,2024,1,Basti District,538611,15412951
Uttar Pradesh,2024,1,Shamli District,310348,16187714
Uttar Pradesh,2024,1,Maharajganj District,553104,36340117
Uttar Pradesh,2024,1,Etawah District,414603,28351593
Uttar Pradesh,2024,1,Etah District,357881,27196200
Uttar Pradesh,2024,1,Banda District,259923,79453463
Uttar Pradesh,2024,1,Bijnor District,724249,40743858
Uttar Pradesh,2024,1,Hardoi District,534801,121241786
Uttar Pradesh,2024,1,Balrampur District,251771,84315069
Uttar Pradesh,2024,1,Amroha District,403289,21816018
Uttar Pradesh,2024,1,Pilibhit District,389195,39950637
Uttar Pradesh,2024,1,Mainpuri District,414239,33493341
Uttar Pradesh,2024,1,Kanpur Dehat District,315586,40383771
Uttar Pradesh,2024,1,Jaunpur District,1086857,11022980
Uttar Pradesh,2024,1,Kaushambi District,213688,24256802
Uttar Pradesh,2024,1,Hapur District,469396,13264438
Uttar Pradesh,2024,1,Hamirpur District,218191,39070049
Uttar Pradesh,2024,1,Meerut District,1369150,24294581
Uttar Pradesh,2024,1,Mathura District,1033503,30021758
Uttar Pradesh,2024,1,Chitrakoot District,152320,48422227
Uttar Pradesh,2024,1,Lalitpur District,259525,87946629
Uttar Pradesh,2024,1,Mau District,487619,4134362
Uttar Pradesh,2024,1,Mirzapur District,521361,63307300
Uttar Pradesh,2024,1,Bulandshahr District,877737,26144923
Uttar Pradesh,2024,1,Gonda District,506569,66276611
Uttar Pradesh,2024,1,Jhansi District,757395,63221866
Uttar Pradesh,2024,1,Chandauli District,495520,22039578
Uttar Pradesh,2024,1,Bhadohi District,380059,4364803
Uttar Pradesh,2024,1,Pratapgarh District,620622,28375970
Uttar Pradesh,2024,1,Saharanpur District,943863,46240151
Uttar Pradesh,2024,1,Bara Banki District,486273,60390128
Uttar Pradesh,2024,1,Bareilly District,1256323,42580038
Uttar Pradesh,2024,1,Sitapur District,671937,145964796
Uttar Pradesh,2024,1,Sultanpur District,503749,18516414
Uttar Pradesh,2024,1,Agra District,1827812,37361995
Uttar Pradesh,2024,1,Fatehpur District,381333,56023012
Uttar Pradesh,2024,1,Rae Bareli District,435763,29587643
Uttar Pradesh,2024,1,Firozabad District,688869,29725106
Uttar Pradesh,2024,1,Kheri District,753192,120985522
Uttar Pradesh,2024,1,Gorakhpur District,1482201,17422010
Uttar Pradesh,2024,1,Unnao District,488566,65243656
Uttar Pradesh,2024,1,Prayagraj District,2163437,80929849
Uttar Pradesh,2024,1,Sonbhadra District,452947,90188049
Uttar Pradesh,2024,1,Ghazipur District,859165,18659841
Uttar Pradesh,2024,1,Farrukhabad District,386506,33831563
Uttar Pradesh,2024,1,Kannauj District,335088,27476688
Uttar Pradesh,2024,1,Azamgarh District,965487,17172586
Uttar Pradesh,2024,1,Ayodhya District,615546,24534786
Uttar Pradesh,2024,1,Deoria District,822245,6919865
Uttar Pradesh,2024,1,Ghaziabad District,3240845,17144049
Uttar Pradesh,2023,1,Amethi District,347875,17942736
Uttar Pradesh,2023,1,Siddharthnagar District,353122,25109868
Uttar Pradesh,2023,1,Auraiya District,267934,12406518
Uttar Pradesh,2023,1,Sambhal District,288342,18979523
Uttar Pradesh,2023,1,Kanpur Nagar District,1751281,16944223
Uttar Pradesh,2023,1,Aligarh District,954758,20767311
Uttar Pradesh,2023,1,Mahoba District,144131,18653580
Uttar Pradesh,2023,1,Lucknow District,2858255,18362335
Uttar Pradesh,2023,1,Sant Kabeer Nagar District,273471,6472453
Uttar Pradesh,2023,1,Hathras District,326364,8911564
Uttar Pradesh,2023,1,Budaun District,380761,35722344
Uttar Pradesh,2023,1,Moradabad District,647915,12999311
Uttar Pradesh,2023,1,Kushinagar District,725714,12823673
Uttar Pradesh,2023,1,Baghpat District,334159,5849614
Uttar Pradesh,2023,1,Shahjahanpur District,443182,24956626
Uttar Pradesh,2023,1,Muzaffarnagar District,623408,13835243
Uttar Pradesh,2023,1,Ambedkar Nagar District,430997,8992130
Uttar Pradesh,2023,1,Bahraich District,321216,42258343
Uttar Pradesh,2023,1,Jalaun District,323564,35334952
Uttar Pradesh,2023,1,Rampur District,346791,17661609
Uttar Pradesh,2023,1,Ballia District,677606,9855761
Uttar Pradesh,2023,1,Shravasti District,82990,11971736
Uttar Pradesh,2023,1,Kasganj District,224986,10870339
Uttar Pradesh,2023,1,Varanasi District,1718122,4498719
Uttar Pradesh,2023,1,Gautam Buddha Nagar District,3434422,17212184
Uttar Pradesh,2023,1,Basti District,455284,11027934
Uttar Pradesh,2023,1,Shamli District,265822,6403702
Uttar Pradesh,2023,1,Maharajganj District,468125,14612712
Uttar Pradesh,2023,1,Etawah District,352935,14796278
Uttar Pradesh,2023,1,Etah District,303920,13647021
Uttar Pradesh,2023,1,Banda District,218345,29108610
Uttar Pradesh,2023,1,Bijnor District,617592,25494712
Uttar Pradesh,2023,1,Hardoi District,451324,39289061
Uttar Pradesh,2023,1,Balrampur District,211866,24228504
Uttar Pradesh,2023,1,Amroha District,343745,13956161
Uttar Pradesh,2023,1,Pilibhit District,328766,16022857
Uttar Pradesh,2023,1,Mainpuri District,351545,17033236
Uttar Pradesh,2023,1,Kanpur Dehat District,265587,23315996
Uttar Pradesh,2023,1,Jaunpur District,920995,8705986
Uttar Pradesh,2023,1,Kaushambi District,179501,9526695
Uttar Pradesh,2023,1,Hapur District,402167,6667440
Uttar Pradesh,2023,1,Hamirpur District,182923,20111262
Uttar Pradesh,2023,1,Meerut District,1178230,12175950
Uttar Pradesh,2023,1,Mathura District,882699,23185884
Uttar Pradesh,2023,1,Chitrakoot District,127573,21998196
Uttar Pradesh,2023,1,Lalitpur District,218301,42405014
Uttar Pradesh,2023,1,Mau District,413361,3670702
Uttar Pradesh,2023,1,Mirzapur District,441082,22906095
Uttar Pradesh,2023,1,Bulandshahr District,750064,19198603
Uttar Pradesh,2023,1,Gonda District,429376,26767372
Uttar Pradesh,2023,1,Jhansi District,646791,38580013
Uttar Pradesh,2023,1,Chandauli District,421886,9311034
Uttar Pradesh,2023,1,Bhadohi District,321988,1297142
Uttar Pradesh,2023,1,Pratapgarh District,523982,13141831
Uttar Pradesh,2023,1,Saharanpur District,811254,27133161
Uttar Pradesh,2023,1,Bara Banki District,411159,22371462
Uttar Pradesh,2023,1,Bareilly District,1073906,24277681
Uttar Pradesh,2023,1,Sitapur District,564348,38774612
Uttar Pradesh,2023,1,Sultanpur District,426458,10689377
Uttar Pradesh,2023,1,Agra District,1567104,25286752
Uttar Pradesh,2023,1,Fatehpur District,320663,21100898
Uttar Pradesh,2023,1,Rae Bareli District,369591,16615657
Uttar Pradesh,2023,1,Firozabad District,585301,15134077
Uttar Pradesh,2023,1,Kheri District,634526,41787011
Uttar Pradesh,2023,1,Gorakhpur District,1263672,17627474
Uttar Pradesh,2023,1,Unnao District,412637,26287624
Uttar Pradesh,2023,1,Prayagraj District,1847496,25481354
Uttar Pradesh,2023,1,Sonbhadra District,383025,54163919
Uttar Pradesh,2023,1,Ghazipur District,728284,8919784
Uttar Pradesh,2023,1,Farrukhabad District,328564,14819360
Uttar Pradesh,2023,1,Kannauj District,282585,14765259
